,CountryCode,Language,IsOfficial,Percentage
609,MUS,Marathi,F,0.7
610,MUS,Tamil,F,0.8
611,MWI,Chichewa,T,58.3
612,MWI,Lomwe,F,18.4
613,MWI,Ngoni,F,6.7
614,MWI,Yao,F,13.2
615,MYS,Chinese,F,9.0
616,MYS,Dusun,F,1.1
617,MYS,English,F,1.6
618,MYS,Iban,F,2.8
619,MYS,Malay,T,58.4
620,MYS,Tamil,F,3.9
621,MYT,French,T,20.3
622,MYT,Mahoré,F,41.9
623,MYT,Malagasy,F,16.1
624,NAM,Afrikaans,F,9.5
625,NAM,Caprivi,F,4.7
626,NAM,German,F,0.9
627,NAM,Herero,F,8.0
628,NAM,Kavango,F,9.7
629,NAM,Nama,F,12.4
630,NAM,Ovambo,F,50.7
631,NAM,San,F,1.9
632,NCL,French,T,34.3
633,NCL,Malenasian Languages,F,45.4
634,NCL,Polynesian Languages,F,11.6
635,NER,Ful,F,9.7
636,NER,Hausa,F,53.1
637,NER,Kanuri,F,4.4
638,NER,Songhai-zerma,F,21.2
639,NER,Tamashek,F,10.4
640,NFK,English,T,0.0
641,NGA,Bura,F,1.6
642,NGA,Edo,F,3.3
643,NGA,Ful,F,11.3
644,NGA,Hausa,F,21.1
645,NGA,Ibibio,F,5.6
646,NGA,Ibo,F,18.1
647,NGA,Ijo,F,1.8
648,NGA,Joruba,F,21.4
649,NGA,Kanuri,F,4.1
650,NGA,Tiv,F,2.3
651,NIC,Creole English,F,0.5
652,NIC,Miskito,F,1.6
653,NIC,Spanish,T,97.6
654,NIC,Sumo,F,0.2
655,NIU,English,T,0.0
656,NIU,Niue,F,0.0
657,NLD,Arabic,F,0.9
658,NLD,Dutch,T,95.6
659,NLD,Fries,F,3.7
660,NLD,Turkish,F,0.8
661,NOR,Danish,F,0.4
662,NOR,English,F,0.5
663,NOR,Norwegian,T,96.6
664,NOR,Saame,F,0.0
665,NOR,Swedish,F,0.3
666,NPL,Bhojpuri,F,7.5
667,NPL,Hindi,F,3.0
668,NPL,Maithili,F,11.9
669,NPL,Nepali,T,50.4
670,NPL,Newari,F,3.7
671,NPL,Tamang,F,4.9
672,NPL,Tharu,F,5.4
673,NRU,Chinese,F,8.5
674,NRU,English,T,7.5
675,NRU,Kiribati,F,17.9
676,NRU,Nauru,T,57.5
677,NRU,Tuvalu,F,8.5
678,NZL,English,T,87.0
679,NZL,Maori,F,4.3
680,OMN,Arabic,T,76.7
681,OMN,Balochi,F,0.0
682,PAK,Balochi,F,3.0
683,PAK,Brahui,F,1.2
684,PAK,Hindko,F,2.4
685,PAK,Pashto,F,13.1
686,PAK,Punjabi,F,48.2
687,PAK,Saraiki,F,9.8
688,PAK,Sindhi,F,11.8
689,PAK,Urdu,T,7.6
690,PAN,Arabic,F,0.6
691,PAN,Creole English,F,14.0
692,PAN,Cuna,F,2.0
693,PAN,Embera,F,0.6
694,PAN,Guaymí,F,5.3
695,PAN,Spanish,T,76.8
696,PCN,Pitcairnese,F,0.0
697,PER,Aimará,T,2.3
698,PER,Ketšua,T,16.4
699,PER,Spanish,T,79.8
700,PHL,Bicol,F,5.7
701,PHL,Cebuano,F,23.3
702,PHL,Hiligaynon,F,9.1
703,PHL,Ilocano,F,9.3
704,PHL,Maguindanao,F,1.4
705,PHL,Maranao,F,1.3
706,PHL,Pampango,F,3.0
707,PHL,Pangasinan,F,1.8
708,PHL,Pilipino,T,29.3
709,PHL,Waray-waray,F,3.8
710,PLW,Chinese,F,1.6
711,PLW,English,T,3.2
712,PLW,Palau,T,82.2
713,PLW,Philippene Languages,F,9.2
714,PNG,Malenasian Languages,F,20.0
715,PNG,Papuan Languages,F,78.1
716,POL,Belorussian,F,0.5
717,POL,German,F,1.3
718,POL,Polish,T,97.6
719,POL,Ukrainian,F,0.6
720,PRI,English,F,47.4
721,PRI,Spanish,T,51.3
722,PRK,Chinese,F,0.1
723,PRK,Korean,T,99.9
724,PRT,Portuguese,T,99.0
725,PRY,German,F,0.9
726,PRY,Guaraní,T,40.1
727,PRY,Portuguese,F,3.2
728,PRY,Spanish,T,55.1
729,PSE,Arabic,F,95.9
730,PSE,Hebrew,F,4.1
731,PYF,Chinese,F,2.9
732,PYF,French,T,40.8
733,PYF,Tahitian,F,46.4
734,QAT,Arabic,T,40.7
735,QAT,Urdu,F,0.0
736,REU,Chinese,F,2.8
737,REU,Comorian,F,2.8
738,REU,Creole French,F,91.5
739,REU,Malagasy,F,1.4
740,REU,Tamil,F,0.0
741,ROM,German,F,0.4
742,ROM,Hungarian,F,7.2
743,ROM,Romani,T,0.7
744,ROM,Romanian,T,90.7
745,ROM,Serbo-Croatian,F,0.1
746,ROM,Ukrainian,F,0.3
747,RUS,Avarian,F,0.4
748,RUS,Bashkir,F,0.7
749,RUS,Belorussian,F,0.3
750,RUS,Chechen,F,0.6
751,RUS,Chuvash,F,0.9
752,RUS,Kazakh,F,0.4
753,RUS,Mari,F,0.4
754,RUS,Mordva,F,0.5
755,RUS,Russian,T,86.6
